policy,path_id,implementation_shortfall_bps,completion_error,max_constraint_violation
twap,292,8.776539591480507,0.0,0.0
twap,293,11.349906468114794,0.0,0.0
twap,294,-1.9471087127902003,0.0,0.0
twap,295,8.963400572293503,0.0,0.0
twap,296,-1.0157087451969775,0.0,0.0
twap,297,28.176592432055788,0.0,0.0
twap,298,-8.589449636624625,0.0,0.0
twap,299,9.709387351583706,0.0,0.0
twap,300,2.1751808357003175,0.0,0.0
twap,301,-3.3208712199785446,0.0,0.0
twap,302,4.128983740537495,0.0,0.0
twap,303,11.609415711707182,0.0,0.0
twap,304,-19.929067203149206,0.0,0.0
twap,305,-18.308540539363833,0.0,0.0
twap,306,6.466012125570668,0.0,0.0
twap,307,-12.358917597279072,0.0,0.0
twap,308,0.2843344690088185,0.0,0.0
twap,309,25.451039725771057,0.0,0.0
twap,310,8.203471342163901,0.0,0.0
twap,311,-25.075741206689422,0.0,0.0
twap,312,-6.752284180617138,0.0,0.0
twap,313,12.52862756410389,0.0,0.0
twap,314,21.43873696333899,0.0,0.0
twap,315,-12.998971767453497,0.0,0.0
twap,316,-5.992331981803318,0.0,0.0
twap,317,18.80026656207873,0.0,0.0
twap,318,6.3355501413191115,0.0,0.0
twap,319,-23.94749285566608,0.0,0.0
twap,320,-0.5298164605008281,0.0,0.0
twap,321,-0.6074879650070848,0.0,0.0
twap,322,21.867840034652517,0.0,0.0
twap,323,17.67776684696437,0.0,0.0
twap,324,25.415668138994366,0.0,0.0
twap,325,35.61878977290051,0.0,0.0
twap,326,12.773142593457415,0.0,0.0
twap,327,13.20688896084203,0.0,0.0
twap,328,-26.00283328311778,0.0,0.0
twap,329,4.8277367516395016,0.0,0.0
twap,330,-0.5391585977552678,0.0,0.0
twap,331,2.5305520432313298,0.0,0.0
twap,332,13.814907404315921,0.0,0.0
twap,333,-3.3088762545988657,0.0,0.0
twap,334,-30.005748554438828,0.0,0.0
twap,335,19.19114408381728,0.0,0.0
twap,336,-13.385440313472294,0.0,0.0
twap,337,21.957829945057238,0.0,0.0
twap,338,-10.631375030857281,0.0,0.0
twap,339,-1.8180375429309648,0.0,0.0
twap,340,-3.0681535111369915,0.0,0.0
twap,341,-9.591531386222856,0.0,0.0
twap,342,2.5685062458595,0.0,0.0
twap,343,-8.125986883502117,0.0,0.0
twap,344,-8.861920476144958,0.0,0.0
twap,345,-4.318568499055071,0.0,0.0
twap,346,-7.671957740030834,0.0,0.0
twap,347,-7.56170399338854,0.0,0.0
twap,348,5.313003343843453,0.0,0.0
twap,349,15.73292605684976,0.0,0.0
twap,350,-1.8121881202734402,0.0,0.0
twap,351,3.0734441416727996,0.0,0.0
twap,352,13.00428335148104,0.0,0.0
twap,353,-7.40637148351212,0.0,0.0
twap,354,-12.620625217138658,0.0,0.0
twap,355,4.890799702835947,0.0,0.0
twap,356,-2.440330433101464,0.0,0.0
twap,357,5.587742189565839,0.0,0.0
twap,358,6.739452537689895,0.0,0.0
twap,359,-1.1944537330190845,0.0,0.0
twap,360,-2.5922152008194614,0.0,0.0
twap,361,6.740121828535579,0.0,0.0
twap,362,2.0173988309652926,0.0,0.0
twap,363,-10.384607736777859,0.0,0.0
twap,364,-5.358970622744815,0.0,0.0
twap,365,4.304836052235667,0.0,0.0
twap,366,-5.5033889885147,0.0,0.0
twap,367,33.11256730232427,0.0,0.0
twap,368,-6.317034640269324,0.0,0.0
twap,369,23.260781112955364,0.0,0.0
twap,370,0.6277912304979223,0.0,0.0
twap,371,-10.898080093494311,0.0,0.0
twap,372,20.38190627610429,0.0,0.0
twap,373,-10.51261794625884,0.0,0.0
twap,374,8.984099948063767,0.0,0.0
twap,375,8.04575369627945,0.0,0.0
twap,376,-15.190265549927222,0.0,0.0
twap,377,-5.937343752449934,0.0,0.0
twap,378,-18.746344912867386,0.0,0.0
twap,379,-0.49273811001266205,0.0,0.0
twap,380,-1.3305068880024442,0.0,0.0
twap,381,0.3777236791046583,0.0,0.0
twap,382,-5.650862275824658,0.0,0.0
twap,383,3.7153361998537693,0.0,0.0
twap,384,-4.2806105448980825,0.0,0.0
twap,385,-5.475704105338711,0.0,0.0
twap,386,-7.47423221683593,0.0,0.0
twap,387,-1.078748538930654,0.0,0.0
twap,388,2.2531562440520405,0.0,0.0
twap,389,0.17603065526398393,0.0,0.0
twap,390,14.94048764937071,0.0,0.0
twap,391,5.885702853252464,0.0,0.0
twap,392,-14.7521622464838,0.0,0.0
twap,393,0.6809987724581728,0.0,0.0
twap,394,15.671263600927555,0.0,0.0
twap,395,-4.249645716099013,0.0,0.0
twap,396,3.3642453325340935,0.0,0.0
twap,397,7.690095735111199,0.0,0.0
twap,398,-2.0045468315750554,0.0,0.0
twap,399,-6.032115023470298,0.0,0.0
twap,400,14.980826744969598,0.0,0.0
twap,401,12.365176222796814,0.0,0.0
twap,402,6.219239644453392,0.0,0.0
twap,403,34.25663806100623,0.0,0.0
twap,404,-6.306197800214154,0.0,0.0
twap,405,17.44979116089095,0.0,0.0
twap,406,10.167790706539163,0.0,0.0
twap,407,2.4375775823154395,0.0,0.0
twap,408,-5.3865779284706266,0.0,0.0
twap,409,30.567057237256524,0.0,0.0
twap,410,5.645184786214421,0.0,0.0
twap,411,7.645954868383798,0.0,0.0
twap,412,17.751470845715183,0.0,0.0
twap,413,11.351303255079314,0.0,0.0
twap,414,9.106292613087726,0.0,0.0
twap,415,2.8719232375391965,0.0,0.0
twap,416,12.191012585806337,0.0,0.0
twap,417,-11.29812581858075,0.0,0.0
twap,418,-21.78139278169556,0.0,0.0
twap,419,-2.4467931438199253,0.0,0.0
twap,420,2.4923487188879045,0.0,0.0
twap,421,-6.4980302455000905,0.0,0.0
twap,422,-4.756286130164583,0.0,0.0
twap,423,-3.1045973310401163,0.0,0.0
twap,424,-13.49144893979592,0.0,0.0
twap,425,-5.222469359912883,0.0,0.0
twap,426,-14.469686293839322,0.0,0.0
twap,427,-10.140235480451532,0.0,0.0
twap,428,10.029495247549827,0.0,0.0
twap,429,-10.475429170451514,0.0,0.0
twap,430,-0.4791099058040131,0.0,0.0
twap,431,21.736630324628514,0.0,0.0
twap,432,-7.817906854340126,0.0,0.0
twap,433,-9.861103394993116,0.0,0.0
twap,434,5.3770667109173385,0.0,0.0
twap,435,-2.0810928622789753,0.0,0.0
twap,436,2.73673704493388,0.0,0.0
twap,437,-4.901327583601973,0.0,0.0
twap,438,-1.9431823374274968,0.0,0.0
twap,439,10.894419073605123,0.0,0.0
twap,440,-8.866254605159705,0.0,0.0
twap,441,-17.194605746918207,0.0,0.0
twap,442,13.98630237690965,0.0,0.0
twap,443,0.917404135795262,0.0,0.0
twap,444,6.5049661348189645,0.0,0.0
twap,445,9.970355750710736,0.0,0.0
twap,446,4.534756837891701,0.0,0.0
twap,447,4.082397646563825,0.0,0.0
twap,448,-15.995215695304394,0.0,0.0
twap,449,-7.940795603753354,0.0,0.0
twap,450,-3.3640625434600606,0.0,0.0
twap,451,14.973257257250527,0.0,0.0
twap,452,17.761529080666207,0.0,0.0
twap,453,50.75255063498646,0.0,0.0
twap,454,-1.1406029740423906,0.0,0.0
twap,455,12.012084136870673,0.0,0.0
twap,456,-3.0915561188074294,0.0,0.0
twap,457,-3.6915007349604054,0.0,0.0
twap,458,-18.608490963259197,0.0,0.0
twap,459,-6.661172331362826,0.0,0.0
twap,460,-10.37094779024529,0.0,0.0
twap,461,11.864296389852246,0.0,0.0
twap,462,-11.08015957650213,0.0,0.0
twap,463,14.965606394152513,0.0,0.0
twap,464,-16.028917833638243,0.0,0.0
twap,465,12.759613572605083,0.0,0.0
twap,466,5.827885203567323,0.0,0.0
twap,467,-5.34632894612284,0.0,0.0
twap,468,-10.938915903108851,0.0,0.0
twap,469,-1.1398869400376967,0.0,0.0
twap,470,15.321906153013044,0.0,0.0
twap,471,-12.057451161343637,0.0,0.0
twap,472,-2.6439080328696707,0.0,0.0
twap,473,-5.900650976167301,0.0,0.0
twap,474,-15.906601543729687,0.0,0.0
twap,475,-14.843606755209017,0.0,0.0
twap,476,-9.387142310843238,0.0,0.0
twap,477,31.348148511249743,0.0,0.0
twap,478,8.52837309882347,0.0,0.0
twap,479,-10.484719333375168,0.0,0.0
twap,480,2.435390740136244,0.0,0.0
twap,481,-11.824217423619261,0.0,0.0
twap,482,-24.842673437414632,0.0,0.0
twap,483,10.66636205324575,0.0,0.0
twap,484,-5.152783005284715,0.0,0.0
twap,485,14.14722986157481,0.0,0.0
twap,486,2.1730838949307936,0.0,0.0
twap,487,14.162012815213142,0.0,0.0
twap,488,-12.35233966678368,0.0,0.0
twap,489,-3.66978527351216,0.0,0.0
twap,490,-25.151614300402922,0.0,0.0
twap,491,7.06114986689744,0.0,0.0
twap,492,7.5214240523329225,0.0,0.0
twap,493,-2.8319958721683305,0.0,0.0
twap,494,22.535585968756358,0.0,0.0
twap,495,5.667685706936282,0.0,0.0
twap,496,15.62671431808468,0.0,0.0
twap,497,3.040512141865418,0.0,0.0
twap,498,10.44826932256204,0.0,0.0
twap,499,-8.475783744671583,0.0,0.0
twap,500,8.057498249542045,0.0,0.0
twap,501,5.739867154919563,0.0,0.0
twap,502,-2.538878494866674,0.0,0.0
twap,503,7.548871074276506,0.0,0.0
twap,504,2.9662163318188504,0.0,0.0
twap,505,-3.087655150098141,0.0,0.0
twap,506,12.31219072245688,0.0,0.0
twap,507,-11.621358271787132,0.0,0.0
twap,508,31.30403904830035,0.0,0.0
twap,509,22.851194610163887,0.0,0.0
twap,510,12.322293760361692,0.0,0.0
twap,511,-8.999135427864212,0.0,0.0
twap,512,-4.1789513078478855,0.0,0.0
twap,513,20.30432008296812,0.0,0.0
twap,514,-0.14050185001719478,0.0,0.0
twap,515,-14.122968289389993,0.0,0.0
twap,516,0.18311200564268465,0.0,0.0
twap,517,-8.935956651141666,0.0,0.0
twap,518,0.9902018805199502,0.0,0.0
twap,519,-15.118137959330918,0.0,0.0
twap,520,1.1399189458252548,0.0,0.0
twap,521,3.5761312149152755,0.0,0.0
twap,522,6.3234447199986255,0.0,0.0
twap,523,-19.30360630718015,0.0,0.0
twap,524,-8.314547288751353,0.0,0.0
twap,525,3.7799037305399823,0.0,0.0
twap,526,3.6337229847045958,0.0,0.0
twap,527,-5.214492799744564,0.0,0.0
twap,528,7.824410913153063,0.0,0.0
twap,529,-17.03515001111791,0.0,0.0
