path_id,t,posterior_stress,regime_true,predicted_stress
917,6,0.0027830208861415896,0,0
917,7,0.007697405921521849,0,0
917,8,0.0024009708229941785,0,0
917,9,0.027513685576297735,0,0
917,10,0.006103791318543346,0,0
917,11,0.012092943086451412,0,0
917,12,0.028183391834894024,0,0
917,13,0.0051096962819969,0,0
918,1,0.08451265796814461,0,0
918,2,0.007262425280733766,0,0
918,3,0.32149497707056196,0,0
918,4,0.006154819767051234,0,0
918,5,0.8876896507274515,1,1
918,6,0.44583271967861027,0,0
918,7,0.04972437907125582,0,0
918,8,0.029725552421727412,0,0
918,9,0.03846029333918639,0,0
918,10,0.0018572335929293608,0,0
918,11,0.022719363831253787,0,0
918,12,0.19187014403895294,0,0
918,13,0.13645503763430786,0,0
919,1,0.28022885842724715,0,0
919,2,0.01861501323225346,0,0
919,3,0.004377917372584237,0,0
919,4,0.0014048324175603252,0,0
919,5,0.0035381247237850854,0,0
919,6,0.0005485239114067029,0,0
919,7,0.07085910044669842,0,0
919,8,0.07484894834803228,0,0
919,9,0.6332163438275643,1,1
919,10,0.8616685755674518,1,1
919,11,0.9990664254924706,1,1
919,12,0.3129786916407703,0,0
919,13,0.2516512601040759,0,0
920,1,0.06910402515820407,0,0
920,2,0.001140604289343786,0,0
920,3,0.002567660722667138,0,0
920,4,0.004982421417751259,0,0
920,5,0.9562343887384639,1,1
920,6,0.996056820407202,1,1
920,7,0.9831293037942603,1,1
920,8,0.7185728173723205,1,1
920,9,0.7326936942064112,1,1
920,10,0.9976278406582005,1,1
920,11,0.18972307350492054,0,0
920,12,0.005378624472068482,0,0
920,13,0.0014088073182465465,0,0
921,1,0.28840330318924595,0,0
921,2,0.025536241141381314,0,0
921,3,0.0022403172372773184,0,0
921,4,0.03196960060737846,1,0
921,5,0.9997103378989237,1,1
921,6,0.9999997837290787,1,1
921,7,0.9109026276795857,1,1
921,8,0.9986737825794829,1,1
921,9,0.9951323384475581,1,1
921,10,0.1680186167880262,0,0
921,11,0.9999854735709326,1,1
921,12,0.9999919555488401,1,1
921,13,0.4443071929831064,1,0
922,1,0.33422597427484024,1,0
922,2,0.15234573357435827,0,0
922,3,0.06181277041909849,0,0
922,4,0.025685248460402446,0,0
922,5,0.002928501884244455,0,0
922,6,0.004618605719350736,0,0
922,7,0.004673326425241391,0,0
922,8,0.10779782587610864,0,0
922,9,0.02093948588462233,0,0
922,10,0.2089504758254484,0,0
922,11,0.01347034755032117,0,0
922,12,0.008712778214698912,0,0
922,13,0.06272839017290717,1,0
923,1,0.020037946226773476,0,0
923,2,0.005247180663280763,0,0
923,3,0.03433323712787523,0,0
923,4,0.0069136213826138685,0,0
923,5,0.002320618518562719,0,0
923,6,0.0010310758870961587,0,0
923,7,0.027160261262019918,0,0
923,8,0.0012378982820585968,0,0
923,9,0.010034720931377836,0,0
923,10,0.006478440257004075,0,0
